# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.95358163790584,7.351642231843605,5.217959833600001,11.652050149179875,4.0,0.0,0.022094070379669716,0.0,5.065284057189427,0.0
 1.9693350942501402,7.413339695072487,5.2307725312,11.731845880446288,4.0,0.0,0.02180610961247744,0.0,4.999369357559683,0.0
 1.9850773570413178,7.474975674272326,5.243660800000001,11.810547266663153,4.0,0.0,0.021520700066420873,0.0,4.934037276056739,0.0
 2.000807782551922,7.5365478045495164,5.2566227968,11.888161772500707,4.0,0.0,0.02123774964605685,0.0,4.8692667246208625,0.0
 2.0165257257802485,7.5980537210104515,5.2696566784000005,11.964696630441876,4.0,0.0,0.020957166750678043,0.0,4.805036732458721,0.0
 2.032230540474259,7.659491058761528,5.282760601600001,12.040158841923056,4.0,0.0,0.020678860289028985,0.0,4.7413264335491085,0.0
 2.047921579155074,7.720857452909141,5.295932723200001,12.114555178390246,4.0,0.0,0.02040273952163205,0.0,4.678115051652934,0.0
 2.0635981931400607,7.782150538559682,5.309171200000001,12.187892182232364,4.0,0.0,0.02012871406919993,0.0,4.615381886571669,0.0
 2.0792597325655278,7.843367950819549,5.3224741888,12.260176167612494,4.0,0.0,0.01985669381063053,0.0,4.55310629988684,0.0
 2.0949055464090267,7.904507324795134,5.335839846400001,12.331413221190186,4.0,0.0,0.01958658884273844,0.0,4.49126769974522,0.0
 2.1105349825112873,7.965566295592834,5.349266329600001,12.4016092027215,4.0,0.0,0.019318309450340104,0.0,4.429845527471672,0.0
 2.1261473875977805,8.02654249831904,5.3627517952,12.470769745566978,4.0,0.0,0.019051765968134033,0.0,4.368819241184625,0.0
 2.1417421072999376,8.087433568080153,5.376294400000001,12.538900257062643,4.0,0.0,0.01878686876494138,0.0,4.308168301534713,0.0
 2.1573184861760155,8.14823713998256,5.389892300800001,12.606005918789258,4.0,0.0,0.018523528142341077,0.0,4.2478721561040444,0.0
